country,hdi,life_expect,school_years,gni_per_capita,unemployment,gini
Norway,949,81.7,12.7,67614,4.1,25.9
Australia,939,82.5,13.2,42822,6.3,34.9
Switzerland,939,83.1,13.4,56364,4.3,31.6
Germany,926,81.1,13.2,45000,4.6,30.1
Denmark,925,80.4,12.7,44519,6.3,29.1
Singapore,925,83.2,11.6,78162,3.3,
Netherlands,924,81.7,11.9,46326,6.1,28.0
Ireland,923,81.1,12.3,43798,9.5,32.5
Iceland,921,82.7,12.2,37065,4.4,26.9
Canada,920,82.2,13.1,42582,6.9,33.7
United States,920,79.2,13.2,53245,5.3,41.1
"Hong Kong, China (SAR)",917,84.2,11.6,54265,3.3,
New Zealand,915,82,12.5,32870,5.9,
Sweden,913,82.3,12.3,46251,7.4,27.3
Liechtenstein,912,80.2,12.4,75065,,
United Kingdom,909,80.8,13.3,37931,5.5,32.6
Japan,903,83.7,12.5,37268,3.3,32.1
Korea (Republic of),901,82.1,12.2,34541,3.7,
Israel,899,82.6,12.8,31215,5,42.8
Luxembourg,898,81.9,12,62471,5.9,34.8
France,897,82.4,11.6,38085,10.6,33.1
Belgium,896,81,11.4,41243,8.7,27.6
Finland,895,81,11.2,38868,9.6,27.1
Austria,893,81.6,11.3,43609,5.7,30.5
Slovenia,890,80.6,12.1,28664,9.3,25.6
Italy,887,83.3,10.9,33573,12.1,35.2
Spain,884,82.8,9.8,32779,22.4,35.9
Czech Republic,878,78.8,12.3,28144,5.2,26.1
Greece,866,81.1,10.5,24808,24.9,36.7
Brunei Darussalam,865,79,9,72843,1.9,
Estonia,865,77,12.5,26362,5.9,33.2
Andorra,858,81.5,10.3,47979,,
Cyprus,856,80.3,11.7,29459,15.6,34.3
Malta,856,80.7,11.3,29500,5.4,
Qatar,856,78.3,9.8,129916,0.2,
Poland,855,77.6,11.9,24117,7.4,32.1
Lithuania,848,73.5,12.7,26006,9.5,35.2
Chile,847,82,9.9,21665,6.4,50.5
Saudi Arabia,847,74.4,9.6,51320,5.8,
Slovakia,845,76.4,12.2,26764,11.3,26.1
Portugal,843,81.2,8.9,26104,12.1,36.0
United Arab Emirates,840,77.1,9.5,66203,3.7,
Hungary,836,75.3,12,23394,7,30.6
Latvia,830,74.3,11.7,22589,9.8,35.5
Argentina,827,76.5,9.9,20945,6.7,42.7
Croatia,827,77.5,11.2,20291,16.1,32.5
Bahrain,824,76.7,9.4,37236,1.2,
Montenegro,807,76.4,11.3,15410,18.2,31.9
Russian Federation,804,70.3,12,23286,5.8,41.6
Romania,802,74.8,10.8,19428,6.9,27.5
Kuwait,800,74.5,7.3,76075,3.5,
Belarus,796,71.5,12,15629,6.1,27.2
Oman,796,77,8.1,34402,6.3,
Barbados,795,75.8,10.5,14952,12.3,
Uruguay,795,77.4,8.6,19148,7.3,41.6
Bulgaria,794,74.3,10.8,16261,9.8,36.0
Kazakhstan,794,69.6,11.7,22093,5.6,26.3
Bahamas,792,75.6,10.9,21565,14.4,
Malaysia,789,74.9,10.1,24620,2.9,46.3
Palau,788,72.9,12.3,13771,,
Panama,788,77.8,9.9,19470,5.2,50.7
Antigua and Barbuda,786,76.2,9.2,20907,,
Seychelles,782,73.3,9.4,23886,,46.8
Mauritius,781,74.6,9.1,17948,7.9,35.8
Trinidad and Tobago,780,70.5,10.9,28049,3.8,
Costa Rica,776,79.6,8.7,14006,8.6,48.5
Serbia,776,75,10.8,12202,19,29.1
Cuba,775,79.6,11.8,7455,3,
Iran (Islamic Republic of),774,75.6,8.8,16395,10.5,37.4
Georgia,769,75,12.2,8856,12.3,40.1
Turkey,767,75.5,7.9,18705,10.3,40.2
Venezuela (Bolivarian Republic of),767,74.4,9.4,15129,8,46.9
Sri Lanka,766,75,10.9,10789,4.7,39.2
Saint Kitts and Nevis,765,74,8.4,22436,,
Albania,764,78,9.6,10252,17.3,29.0
Lebanon,763,79.5,8.6,13312,7.1,
Mexico,762,77,8.6,16383,4.3,48.2
Azerbaijan,759,70.9,11.2,16413,4.7,31.8
Brazil,754,74.7,7.8,14145,7.2,51.5
Grenada,754,73.6,8.6,11502,,
Bosnia and Herzegovina,750,76.6,9,10091,30.3,33.8
The former Yugoslav Republic of Macedonia,748,75.5,9.4,12405,26.9,44.1
Algeria,745,75,7.8,13533,10.5,
Armenia,743,74.9,11.3,8189,16.3,31.5
Ukraine,743,71.1,11.3,7361,9.9,24.1
Jordan,741,74.2,10.1,10111,12.8,
Peru,740,74.8,9,11295,3.5,44.1
Thailand,740,74.6,7.9,14519,1.1,37.9
Ecuador,739,76.1,8.3,10536,4.3,45.4
China,738,76,7.6,13345,4.6,42.2
Fiji,736,70.2,10.5,8245,7.7,42.8
Mongolia,735,69.8,9.8,10449,7.1,32.0
Saint Lucia,735,75.2,9.3,9791,20.1,
Jamaica,730,75.8,9.6,8350,13.7,
Colombia,727,74.2,7.6,12762,10,53.5
Dominica,726,77.9,7.9,10096,,
Suriname,725,71.3,8.3,16018,7.8,
Tunisia,725,75,7.1,10249,14.8,35.8
Dominican Republic,722,73.7,7.7,12756,14.4,47.1
Saint Vincent and the Grenadines,722,73,8.6,10372,20,
Tonga,721,73,11.1,5284,5.2,38.1
Libya,716,71.8,7.3,14303,20.6,
Belize,706,70.1,10.5,7375,11.8,
Samoa,704,73.7,10.3,5372,5.8,42.7
Maldives,701,77,6.2,10383,11.8,38.4
Uzbekistan,701,69.4,12,5748,10.1,
Moldova (Republic of),699,71.7,11.9,5026,5,26.8
Botswana,698,64.5,9.2,14663,18.6,60.5
Gabon,697,64.9,8.1,19044,20.5,42.2
Paraguay,693,73,8.1,8182,4.9,51.7
Egypt,691,71.3,7.1,10064,12.1,
Turkmenistan,691,65.7,9.9,14026,10,
Indonesia,689,69.1,7.9,10053,5.8,39.5
"Palestine, State of",684,73.1,8.9,5256,25.9,34.5
Viet Nam,683,75.9,8,5335,2.1,37.6
Philippines,682,68.3,9.3,8395,6.7,43.0
El Salvador,680,73.3,6.5,7732,6.4,41.8
Bolivia (Plurinational State of),674,68.7,8.2,6155,3.6,48.4
South Africa,666,57.7,10.3,12087,25.1,63.4
Kyrgyzstan,664,70.8,10.8,3097,8.2,26.8
Iraq,649,69.6,6.6,11608,16.9,
Cabo Verde,648,73.5,4.8,6049,10.8,47.2
Morocco,647,74.3,5,7195,9.6,40.7
Nicaragua,645,75.2,6.5,4747,6,47.1
Guatemala,640,72.1,6.3,7063,2.7,48.7
Namibia,640,65.1,6.7,9770,25.5,61.0
Guyana,638,66.5,8.4,6884,11.2,
Micronesia (Federated States of),638,69.3,9.7,3291,,42.5
Tajikistan,627,69.6,10.4,2601,10.9,30.8
Honduras,625,73.3,6.2,4466,3.9,50.6
India,624,68.3,6.3,5663,3.5,35.2
Bhutan,607,69.9,3.1,7081,2.6,38.8
